property_id,source_url,discovered_on_page,price_matches_discovery,title,address,description,price,price_listed,area,area_unit,area_marla,area_source,bedrooms,bathrooms,locality,latitude,longitude,latitude_clean,longitude_clean,coord_in_lahore,coord_source,loc_society,loc_phase,loc_phase_num,loc_sector,loc_block,loc_sub,loc_path,views,image_count,is_featured,has_video,created_at,clean_flags,exclusion_reason,excluded,fp_group_id,n_listings,fp_price_median,fp_price_spread,collapsed
9000010,https://example.invalid/synthetic/9000010,1,True,"3.7 Marla House for Sale in Bismillah Housing Scheme, Lahore","Bismillah Housing Scheme, Lahore, Punjab, Pakistan",,11100000.0,11100000.0,3.7,marla,3.7,payload,3,4,Bismillah Housing Scheme,31.770822,74.290896,31.770822,74.290896,True,source,Bismillah Housing Scheme,,,,,,Bismillah Housing Scheme,13,25,False,False,2023-09-05 21:07:33+00:00,synthetic,,False,10,1,11100000.0,0.0,False
9000011,https://example.invalid/synthetic/9000011,1,True,"2.8 Marla House for Sale in Ferozepur Road, Lahore","Ferozepur Road, Lahore, Punjab, Pakistan",,9400000.0,9400000.0,2.8,marla,2.8,payload,3,3,Ferozepur Road,31.442644,74.741833,31.442644,74.741833,True,source,Ferozepur Road,,,,,,Ferozepur Road,43,27,False,False,2024-06-26 13:26:37+00:00,synthetic,,False,11,1,9400000.0,0.0,False
9000012,https://example.invalid/synthetic/9000012,1,True,"5.1 Marla House for Sale in Phase 9 - Town, DHA, Lahore","Phase 9 - Town, DHA, Lahore, Punjab, Pakistan",,20100000.0,20100000.0,5.1,marla,5.1,payload,3,4,DHA,31.171775,74.082385,31.171775,74.082385,True,source,DHA,Phase 9 - Town,9,,,,DHA > Phase 9 - Town,12,9,False,False,2024-05-30 23:34:21+00:00,synthetic,,False,12,1,20100000.0,0.0,False
9000013,https://example.invalid/synthetic/9000013,1,True,"39 Marla House for Sale in Block J, Phase 6, DHA, Lahore","Block J, Phase 6, DHA, Lahore, Punjab, Pakistan",,159400000.0,159400000.0,39.0,marla,39.0,payload,6,6,DHA,31.351784,73.994954,31.351784,73.994954,True,source,DHA,Phase 6,6,,Block J,,DHA > Phase 6 > Block J,35,23,False,False,2024-07-30 18:39:31+00:00,synthetic,,False,13,1,159400000.0,0.0,False
9000014,https://example.invalid/synthetic/9000014,1,True,"9.3 Marla House for Sale in Central Block, Phase 1, Bahria Orchard, Lahore","Central Block, Phase 1, Bahria Orchard, Lahore, Punjab, Pakistan",,27500000.0,27500000.0,9.3,marla,9.3,payload,5,7,Bahria Orchard,31.750431,73.95968,31.750431,73.95968,True,source,Bahria Orchard,Phase 1,1,,Central Block,,Bahria Orchard > Phase 1 > Central Block,47,19,False,False,2023-10-19 02:46:36+00:00,synthetic,,False,14,1,27500000.0,0.0,False
9000015,https://example.invalid/synthetic/9000015,1,True,"21.4 Marla House for Sale in Phase 4, DHA, Lahore","Phase 4, DHA, Lahore, Punjab, Pakistan",,83800000.0,83800000.0,21.4,marla,21.4,payload,5,6,DHA,31.348961,74.310032,31.348961,74.310032,True,source,DHA,Phase 4,4,,,,DHA > Phase 4,14,20,False,False,2024-04-08 17:54:24+00:00,synthetic,,False,15,1,83800000.0,0.0,False
9000016,https://example.invalid/synthetic/9000016,1,True,"6.3 Marla House for Sale in Phase 2, Al Hafeez Garden, Lahore","Phase 2, Al Hafeez Garden, Lahore, Punjab, Pakistan",,28600000.0,28600000.0,6.3,marla,6.3,payload,5,6,Al Hafeez Garden,31.442662,74.345177,31.442662,74.345177,True,source,Al Hafeez Garden,Phase 2,2,,,,Al Hafeez Garden > Phase 2,38,3,False,False,2024-05-07 03:41:01+00:00,synthetic,,False,16,1,28600000.0,0.0,False
9000017,https://example.invalid/synthetic/9000017,1,True,"3.1 Marla House for Sale in Al-Ahmad Garden, Lahore","Al-Ahmad Garden, Lahore, Punjab, Pakistan",,13500000.0,13500000.0,3.1,marla,3.1,payload,2,2,Al-Ahmad Garden,31.209366,74.220238,31.209366,74.220238,True,source,Al-Ahmad Garden,,,,,,Al-Ahmad Garden,13,28,False,False,2023-11-29 10:07:53+00:00,synthetic,,False,17,1,13500000.0,0.0,False
9000018,https://example.invalid/synthetic/9000018,1,True,"18.1 Marla House for Sale in Gulshan-e-Ravi, Lahore","Gulshan-e-Ravi, Lahore, Punjab, Pakistan",,52700000.0,52700000.0,18.1,marla,18.1,payload,5,6,Gulshan-e-Ravi,31.623513,74.130126,31.623513,74.130126,True,source,Gulshan-e-Ravi,,,,,,Gulshan-e-Ravi,13,23,False,False,2023-11-23 17:04:25+00:00,synthetic,,False,18,1,52700000.0,0.0,False
9000019,https://example.invalid/synthetic/9000019,1,True,"20.1 Marla House for Sale in Block X, Phase 3, DHA, Lahore","Block X, Phase 3, DHA, Lahore, Punjab, Pakistan",,62400000.0,62400000.0,20.1,marla,20.1,payload,3,3,DHA,31.532215,74.512878,31.532215,74.512878,True,source,DHA,Phase 3,3,,Block X,,DHA > Phase 3 > Block X,17,15,False,False,2024-03-30 22:45:07+00:00,synthetic,,False,19,1,62400000.0,0.0,False
9000020,https://example.invalid/synthetic/9000020,1,True,"9.8 Marla House for Sale in Block E1, Phase 1, Johar Town, Lahore","Block E1, Phase 1, Johar Town, Lahore, Punjab, Pakistan",,63300000.0,63300000.0,9.8,marla,9.8,payload,5,7,Johar Town,31.372435,74.043086,31.372435,74.043086,True,source,Johar Town,Phase 1,1,,Block E1,,Johar Town > Phase 1 > Block E1,38,16,False,False,2024-03-23 01:20:02+00:00,synthetic,,False,20,1,63300000.0,0.0,False
9000021,https://example.invalid/synthetic/9000021,1,True,"10.6 Marla House for Sale in State Life Housing Society, Lahore","State Life Housing Society, Lahore, Punjab, Pakistan",,44900000.0,44900000.0,10.6,marla,10.6,payload,4,5,State Life Housing Society,31.761803,74.296579,31.761803,74.296579,True,source,State Life Housing Society,,,,,,State Life Housing Society,26,28,False,False,2024-07-14 04:05:47+00:00,synthetic,,False,21,1,44900000.0,0.0,False
9000022,https://example.invalid/synthetic/9000022,1,True,"10.9 Marla House for Sale in Phase 8, DHA, Lahore","Phase 8, DHA, Lahore, Punjab, Pakistan",,51300000.0,51300000.0,10.9,marla,10.9,payload,5,6,DHA,31.423514,74.617322,31.423514,74.617322,True,source,DHA,Phase 8,8,,,,DHA > Phase 8,35,13,False,False,2024-06-29 06:34:38+00:00,synthetic,,False,22,1,51300000.0,0.0,False
9000023,https://example.invalid/synthetic/9000023,1,True,"3 Marla House for Sale in Phase 2, Al Rehman Garden, Lahore","Phase 2, Al Rehman Garden, Lahore, Punjab, Pakistan",,10100000.0,10100000.0,3.0,marla,3.0,payload,3,3,Al Rehman Garden,31.568184,74.550627,31.568184,74.550627,True,source,Al Rehman Garden,Phase 2,2,,,,Al Rehman Garden > Phase 2,28,3,False,False,2024-03-09 04:10:47+00:00,synthetic,,False,23,1,10100000.0,0.0,False
9000024,https://example.invalid/synthetic/9000024,1,True,"9.2 Marla House for Sale in Block E, Bankers Avenue Cooperative Housing Society, Lahore","Block E, Bankers Avenue Cooperative Housing Society, Lahore, Punjab, Pakistan",,28700000.0,28700000.0,9.2,marla,9.2,payload,4,5,Bankers Avenue Cooperative Housing Society,31.397384,74.396616,31.397384,74.396616,True,source,Bankers Avenue Cooperative Housing Society,,,,Block E,,Bankers Avenue Cooperative Housing Society > Block E,19,25,False,False,2024-04-06 03:04:37+00:00,synthetic,,False,24,1,28700000.0,0.0,False
9000025,https://example.invalid/synthetic/9000025,1,True,"8.5 Marla House for Sale in Shah Jamal, Lahore","Shah Jamal, Lahore, Punjab, Pakistan",,40600000.0,40600000.0,8.5,marla,8.5,payload,8,6,Shah Jamal,31.751739,74.196545,31.751739,74.196545,True,source,Shah Jamal,,,,,,Shah Jamal,30,8,False,False,2023-10-04 01:56:30+00:00,synthetic,,False,25,1,40600000.0,0.0,False
9000026,https://example.invalid/synthetic/9000026,1,True,"9.6 Marla House for Sale in Harbanspura, Lahore","Harbanspura, Lahore, Punjab, Pakistan",,36400000.0,36400000.0,9.6,marla,9.6,payload,5,5,Harbanspura,31.67019,74.195662,31.67019,74.195662,True,source,Harbanspura,,,,,,Harbanspura,22,19,False,False,2024-07-11 05:00:44+00:00,synthetic,,False,26,1,36400000.0,0.0,False
9000027,https://example.invalid/synthetic/9000027,1,True,"5.3 Marla House for Sale in State Life Housing Society, Lahore","State Life Housing Society, Lahore, Punjab, Pakistan",,11700000.0,11700000.0,5.3,marla,5.3,payload,3,4,State Life Housing Society,31.573278,73.980951,31.573278,73.980951,True,source,State Life Housing Society,,,,,,State Life Housing Society,13,8,False,False,2023-11-14 05:25:56+00:00,synthetic,,False,27,1,11700000.0,0.0,False
9000028,https://example.invalid/synthetic/9000028,1,True,"5.1 Marla House for Sale in Block C, Green City, Lahore","Block C, Green City, Lahore, Punjab, Pakistan",,19800000.0,19800000.0,5.1,marla,5.1,payload,4,4,Green City,31.749612,74.019364,31.749612,74.019364,True,source,Green City,,,,Block C,,Green City > Block C,9,23,False,False,2024-08-27 07:24:18+00:00,synthetic,,False,28,1,19800000.0,0.0,False
9000029,https://example.invalid/synthetic/9000029,1,True,"6 Marla House for Sale in Imperial Garden Homes, Lahore","Imperial Garden Homes, Lahore, Punjab, Pakistan",,21300000.0,21300000.0,6.0,marla,6.0,payload,3,4,Imperial Garden Homes,31.582288,74.348249,31.582288,74.348249,True,source,Imperial Garden Homes,,,,,,Imperial Garden Homes,0,22,False,False,2024-01-22 00:25:49+00:00,synthetic,,False,29,1,21300000.0,0.0,False
9000030,https://example.invalid/synthetic/9000030,1,True,"3.2 Marla House for Sale in Nespak Housing Scheme, Lahore","Nespak Housing Scheme, Lahore, Punjab, Pakistan",,12600000.0,12600000.0,3.2,marla,3.2,payload,3,3,Nespak Housing Scheme,31.649671,73.963917,31.649671,73.963917,True,source,Nespak Housing Scheme,,,,,,Nespak Housing Scheme,11,19,False,False,2023-09-23 16:21:05+00:00,synthetic,,False,30,1,12600000.0,0.0,False
9000031,https://example.invalid/synthetic/9000031,1,True,"21.1 Marla House for Sale in Punjab Co-Operative Housing Society, Lahore","Punjab Co-Operative Housing Society, Lahore, Punjab, Pakistan",,60200000.0,60200000.0,21.1,marla,21.1,payload,5,6,Punjab Co-Operative Housing Society,31.400638,74.519414,31.400638,74.519414,True,source,Punjab Co-Operative Housing Society,,,,,,Punjab Co-Operative Housing Society,46,7,False,False,2023-09-15 04:13:45+00:00,synthetic,,False,31,1,60200000.0,0.0,False
9000032,https://example.invalid/synthetic/9000032,1,True,"5 Marla House for Sale in Gosha-e-Ahbab, Lahore","Gosha-e-Ahbab, Lahore, Punjab, Pakistan",,15100000.0,15100000.0,5.0,marla,5.0,payload,5,5,Gosha-e-Ahbab,31.765747,74.535267,31.765747,74.535267,True,source,Gosha-e-Ahbab,,,,,,Gosha-e-Ahbab,45,3,False,False,2024-05-03 11:33:07+00:00,synthetic,,False,32,1,15100000.0,0.0,False
9000033,https://example.invalid/synthetic/9000033,1,True,"5 Marla House for Sale in Rehman Villas, Lahore","Rehman Villas, Lahore, Punjab, Pakistan",,9500000.0,9500000.0,5.0,marla,5.0,payload,3,4,Rehman Villas,31.626052,74.13568,31.626052,74.13568,True,source,Rehman Villas,,,,,,Rehman Villas,22,25,False,False,2023-10-03 18:06:51+00:00,synthetic,,False,33,1,9500000.0,0.0,False
9000034,https://example.invalid/synthetic/9000034,1,True,"145.6 Marla House for Sale in Abu Bakar Block, Garden Town, Lahore","Abu Bakar Block, Garden Town, Lahore, Punjab, Pakistan",,613600000.0,613600000.0,145.6,marla,145.6,payload,6,6,Garden Town,31.788578,74.57121,31.788578,74.57121,True,source,Garden Town,,,,Abu Bakar Block,,Garden Town > Abu Bakar Block,2,29,False,False,2024-08-09 08:58:06+00:00,synthetic,,False,34,1,613600000.0,0.0,False
9000035,https://example.invalid/synthetic/9000035,1,True,"2.9 Marla House for Sale in Harbanspura, Lahore","Harbanspura, Lahore, Punjab, Pakistan",,8000000.0,8000000.0,2.9,marla,2.9,payload,4,4,Harbanspura,31.238392,74.328658,31.238392,74.328658,True,source,Harbanspura,,,,,,Harbanspura,0,18,False,False,2024-07-20 23:45:33+00:00,synthetic,,False,35,1,8000000.0,0.0,False
9000036,https://example.invalid/synthetic/9000036,1,True,"5 Marla House for Sale in Bahria Town, Lahore","Bahria Town, Lahore, Punjab, Pakistan",,17700000.0,17700000.0,5.0,marla,5.0,payload,3,4,Bahria Town,31.425865,74.661569,31.425865,74.661569,True,source,Bahria Town,,,Sector D,,,Bahria Town,0,14,False,False,2023-10-29 03:04:28+00:00,synthetic,,False,36,1,17700000.0,0.0,False
9000037,https://example.invalid/synthetic/9000037,1,True,"2.6 Marla House for Sale in Township, Lahore","Township, Lahore, Punjab, Pakistan",,7600000.0,7600000.0,2.6,marla,2.6,payload,3,3,Township,31.760558,74.382761,31.760558,74.382761,True,source,Township,,,Sector A2,,,Township,49,11,False,False,2023-09-24 20:09:50+00:00,synthetic,,False,37,1,7600000.0,0.0,False
9000038,https://example.invalid/synthetic/9000038,1,True,"2.5 Marla House for Sale in Rizwan Garden, Lahore","Rizwan Garden, Lahore, Punjab, Pakistan",,6200000.0,6200000.0,2.5,marla,2.5,payload,3,4,Rizwan Garden,31.293513,74.687634,31.293513,74.687634,True,source,Rizwan Garden,,,,,,Rizwan Garden,43,17,False,False,2024-08-18 08:01:11+00:00,synthetic,,False,38,1,6200000.0,0.0,False
9000039,https://example.invalid/synthetic/9000039,1,True,"2.8 Marla House for Sale in Quaid-e-Azam Interchange, Lahore","Quaid-e-Azam Interchange, Lahore, Punjab, Pakistan",,4100000.0,4100000.0,2.8,marla,2.8,payload,2,2,Quaid-e-Azam Interchange,31.334939,74.490692,31.334939,74.490692,True,source,Quaid-e-Azam Interchange,,,,,,Quaid-e-Azam Interchange,37,14,False,False,2024-05-28 11:08:52+00:00,synthetic,,False,39,1,4100000.0,0.0,False
9000040,https://example.invalid/synthetic/9000040,1,True,"2.9 Marla House for Sale in Ferozepur Road, Lahore","Ferozepur Road, Lahore, Punjab, Pakistan",,8000000.0,8000000.0,2.9,marla,2.9,payload,3,4,Ferozepur Road,31.540938,74.719363,31.540938,74.719363,True,source,Ferozepur Road,,,,,,Ferozepur Road,47,17,False,False,2024-07-01 01:45:32+00:00,synthetic,,False,40,1,8000000.0,0.0,False
9000041,https://example.invalid/synthetic/9000041,1,True,"5.1 Marla House for Sale in Bahria Orchard, Lahore","Bahria Orchard, Lahore, Punjab, Pakistan",,14100000.0,14100000.0,5.1,marla,5.1,payload,3,4,Bahria Orchard,31.709185,74.522188,31.709185,74.522188,True,source,Bahria Orchard,,,,,,Bahria Orchard,48,22,False,False,2024-01-30 07:48:28+00:00,synthetic,,False,41,1,14100000.0,0.0,False
9000042,https://example.invalid/synthetic/9000042,1,True,"5.3 Marla House for Sale in Bedian Road, Lahore","Bedian Road, Lahore, Punjab, Pakistan",,17300000.0,17300000.0,5.3,marla,5.3,payload,3,4,Bedian Road,31.289949,74.080853,31.289949,74.080853,True,source,Bedian Road,,,,,,Bedian Road,39,11,False,False,2023-10-24 09:21:34+00:00,synthetic,,False,42,1,17300000.0,0.0,False
9000043,https://example.invalid/synthetic/9000043,1,True,"6.1 Marla House for Sale in Ali Park, Lahore","Ali Park, Lahore, Punjab, Pakistan",,21500000.0,21500000.0,6.1,marla,6.1,payload,6,6,Ali Park,31.249613,74.564775,31.249613,74.564775,True,source,Ali Park,,,,,,Ali Park,31,10,False,False,2024-05-06 11:50:49+00:00,synthetic,,False,43,1,21500000.0,0.0,False
9000044,https://example.invalid/synthetic/9000044,1,True,"10.9 Marla House for Sale in Johar Town, Lahore","Johar Town, Lahore, Punjab, Pakistan",,58900000.0,58900000.0,10.9,marla,10.9,payload,6,6,Johar Town,31.224736,74.534728,31.224736,74.534728,True,source,Johar Town,,,,,,Johar Town,9,17,False,False,2023-12-11 11:29:35+00:00,synthetic,,False,44,1,58900000.0,0.0,False
9000045,https://example.invalid/synthetic/9000045,1,True,"9.6 Marla House for Sale in Lahore Cantt, Lahore","Lahore Cantt, Lahore, Punjab, Pakistan",,36300000.0,36300000.0,9.6,marla,9.6,payload,4,5,Lahore Cantt,31.742215,74.556099,31.742215,74.556099,True,source,Lahore Cantt,,,,,,Lahore Cantt,1,19,False,False,2023-11-10 22:45:07+00:00,synthetic,,False,45,1,36300000.0,0.0,False
9000046,https://example.invalid/synthetic/9000046,1,True,"18.6 Marla House for Sale in Block D, Phase 6, DHA, Lahore","Block D, Phase 6, DHA, Lahore, Punjab, Pakistan",,131300000.0,131300000.0,18.6,marla,18.6,payload,5,5,DHA,31.216647,74.253503,31.216647,74.253503,True,source,DHA,Phase 6,6,,Block D,,DHA > Phase 6 > Block D,12,20,False,False,2023-10-24 15:35:05+00:00,synthetic,,False,46,1,131300000.0,0.0,False
9000047,https://example.invalid/synthetic/9000047,1,True,"18.2 Marla House for Sale in PIA Housing Scheme, Lahore","PIA Housing Scheme, Lahore, Punjab, Pakistan",,92800000.0,92800000.0,18.2,marla,18.2,payload,7,6,PIA Housing Scheme,31.328032,74.350316,31.328032,74.350316,True,source,PIA Housing Scheme,,,,,,PIA Housing Scheme,41,29,False,False,2023-12-27 18:17:35+00:00,synthetic,,False,47,1,92800000.0,0.0,False
9000048,https://example.invalid/synthetic/9000048,1,True,"21.9 Marla House for Sale in Phase 2, DHA, Lahore","Phase 2, DHA, Lahore, Punjab, Pakistan",,92700000.0,92700000.0,21.9,marla,21.9,payload,5,6,DHA,31.231134,74.229648,31.231134,74.229648,True,source,DHA,Phase 2,2,,,,DHA > Phase 2,40,14,False,False,2024-03-15 16:52:04+00:00,synthetic,,False,48,1,92700000.0,0.0,False
9000049,https://example.invalid/synthetic/9000049,1,True,"86.6 Marla House for Sale in Model Town, Lahore","Model Town, Lahore, Punjab, Pakistan",,355400000.0,355400000.0,86.6,marla,86.6,payload,4,5,Model Town,31.283893,74.270729,31.283893,74.270729,True,source,Model Town,,,,,,Model Town,14,15,False,False,2024-01-28 13:10:42+00:00,synthetic,,False,49,1,355400000.0,0.0,False
9000050,https://example.invalid/synthetic/9000050,2,True,"3.6 Marla House for Sale in Lahore Cantt, Lahore","Lahore Cantt, Lahore, Punjab, Pakistan",,20100000.0,20100000.0,3.6,marla,3.6,payload,4,5,Lahore Cantt,31.583781,74.021914,31.583781,74.021914,True,source,Lahore Cantt,,,,,,Lahore Cantt,33,22,False,False,2024-02-27 11:37:30+00:00,synthetic,,False,50,1,20100000.0,0.0,False
9000051,https://example.invalid/synthetic/9000051,2,True,"4.7 Marla House for Sale in Rizwan Garden, Lahore","Rizwan Garden, Lahore, Punjab, Pakistan",,8200000.0,8200000.0,4.7,marla,4.7,payload,3,4,Rizwan Garden,31.79287,74.431437,31.79287,74.431437,True,source,Rizwan Garden,,,,,,Rizwan Garden,13,10,False,False,2024-07-22 07:55:31+00:00,synthetic,,False,51,1,8200000.0,0.0,False
9000052,https://example.invalid/synthetic/9000052,2,True,"9.4 Marla House for Sale in Bankers Avenue Cooperative Housing Society, Lahore","Bankers Avenue Cooperative Housing Society, Lahore, Punjab, Pakistan",,27900000.0,27900000.0,9.4,marla,9.4,payload,4,5,Bankers Avenue Cooperative Housing Society,31.637465,74.04512,31.637465,74.04512,True,source,Bankers Avenue Cooperative Housing Society,,,,,,Bankers Avenue Cooperative Housing Society,35,25,False,False,2024-07-27 11:06:30+00:00,synthetic,,False,52,1,27900000.0,0.0,False
9000053,https://example.invalid/synthetic/9000053,2,True,"4.6 Marla House for Sale in Block F, Phase 2, Al Rehman Garden, Lahore","Block F, Phase 2, Al Rehman Garden, Lahore, Punjab, Pakistan",,19100000.0,19100000.0,4.6,marla,4.6,payload,6,5,Al Rehman Garden,31.513577,74.465707,31.513577,74.465707,True,source,Al Rehman Garden,Phase 2,2,,Block F,,Al Rehman Garden > Phase 2 > Block F,48,0,False,False,2024-05-31 03:50:35+00:00,synthetic,,False,53,1,19100000.0,0.0,False
9000054,https://example.invalid/synthetic/9000054,2,True,"5.1 Marla House for Sale in Al Hafeez Garden, Lahore","Al Hafeez Garden, Lahore, Punjab, Pakistan",,23000000.0,23000000.0,5.1,marla,5.1,payload,4,4,Al Hafeez Garden,31.732899,73.993763,31.732899,73.993763,True,source,Al Hafeez Garden,,,,,,Al Hafeez Garden,3,1,False,False,2024-06-20 00:35:43+00:00,synthetic,,False,54,1,23000000.0,0.0,False
9000055,https://example.invalid/synthetic/9000055,2,True,"4.7 Marla House for Sale in Block A1, Phase 1, PGECHS, Lahore","Block A1, Phase 1, PGECHS, Lahore, Punjab, Pakistan",,16900000.0,16900000.0,4.7,marla,4.7,payload,5,5,PGECHS,31.193628,74.33038,31.193628,74.33038,True,source,PGECHS,Phase 1,1,,Block A1,,PGECHS > Phase 1 > Block A1,12,19,False,False,2024-01-14 02:28:54+00:00,synthetic,,False,55,1,16900000.0,0.0,False
9000056,https://example.invalid/synthetic/9000056,2,True,"11.9 Marla House for Sale in Askari 10, Lahore","Askari 10, Lahore, Punjab, Pakistan",,62800000.0,62800000.0,11.9,marla,11.9,payload,4,4,Askari 10,31.396828,74.524957,31.396828,74.524957,True,source,Askari 10,,,Sector E,,,Askari 10,22,16,False,False,2024-01-15 22:45:48+00:00,synthetic,,False,56,1,62800000.0,0.0,False
9000057,https://example.invalid/synthetic/9000057,2,True,"61.1 Marla House for Sale in Block E, Model Town, Lahore","Block E, Model Town, Lahore, Punjab, Pakistan",,232100000.0,232100000.0,61.1,marla,61.1,payload,5,5,Model Town,31.330351,74.090212,31.330351,74.090212,True,source,Model Town,,,,Block E,,Model Town > Block E,56,25,False,False,2023-12-13 01:39:10+00:00,synthetic,,False,57,1,232100000.0,0.0,False
9000058,https://example.invalid/synthetic/9000058,2,True,"5.4 Marla House for Sale in Gulshan-e-Ali Colony, Defence Road, Lahore","Gulshan-e-Ali Colony, Defence Road, Lahore, Punjab, Pakistan",,23200000.0,23200000.0,5.4,marla,5.4,payload,3,4,"Gulshan-e-Ali Colony, Defence Road",31.796718,74.289683,31.796718,74.289683,True,source,"Gulshan-e-Ali Colony, Defence Road",,,,,,"Gulshan-e-Ali Colony, Defence Road",31,19,False,False,2024-02-01 23:01:48+00:00,synthetic,,False,58,1,23200000.0,0.0,False
9000059,https://example.invalid/synthetic/9000059,2,True,"3.8 Marla House for Sale in Lahore Cantt, Lahore","Lahore Cantt, Lahore, Punjab, Pakistan",,19400000.0,19400000.0,3.8,marla,3.8,payload,3,4,Lahore Cantt,31.620935,74.611667,31.620935,74.611667,True,source,Lahore Cantt,,,,,,Lahore Cantt,9,21,False,False,2024-08-05 14:21:42+00:00,synthetic,,False,59,1,19400000.0,0.0,False
